Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Country
3/25/2020,0,0,0,0,1,0,0,1,Indonesia
3/25/2020,5,0,1,4,66,17,20,29,Indonesia
3/25/2020,23,1,1,21,48,13,16,19,Indonesia
3/25/2020,9,0,1,8,67,36,216,-185,Indonesia
3/25/2020,0,0,0,0,8,0,2,6,Indonesia
3/25/2020,0,0,0,0,1,1,0,0,Indonesia
3/25/2020,0,0,0,0,1,0,0,1,Indonesia
3/25/2020,0,0,0,0,1,0,2,-1,Indonesia
3/25/2020,0,0,0,0,2,1,1,0,Indonesia
3/25/2020,0,0,0,0,2,0,3,-1,Indonesia
3/25/2020,9,0,0,9,13,1,1,11,Indonesia
3/25/2020,0,0,0,0,3,0,0,3,Indonesia
3/25/2020,0,0,0,0,1,2,1,-2,Indonesia
3/25/2020,0,0,0,0,1,1,0,0,Indonesia
3/26/2020,1,0,0,1,1,0,0,1,Indonesia
3/26/2020,0,0,0,0,2,2,3,-3,Indonesia
3/26/2020,0,0,4,-4,6,19,131,-144,Indonesia
3/26/2020,57,2,0,55,157,63,63,31,Indonesia
3/26/2020,0,0,0,0,3,2,2,-1,Indonesia
3/26/2020,103,20,4,79,893,78,35,780,Indonesia
3/26/2020,0,0,0,0,1,0,0,1,Indonesia
3/26/2020,5,1,0,4,71,18,20,33,Indonesia
3/26/2020,4,0,1,3,52,13,17,22,Indonesia
3/26/2020,13,1,0,12,80,37,216,-173,Indonesia
3/26/2020,2,0,0,2,2,1,39,-38,Indonesia
3/26/2020,0,0,0,0,8,0,2,6,Indonesia
3/26/2020,0,0,0,0,1,1,0,0,Indonesia
3/26/2020,2,0,0,2,2,1,0,1,Indonesia
3/26/2020,0,0,0,0,1,0,0,1,Indonesia
3/26/2020,0,0,0,0,1,0,2,-1,Indonesia
3/26/2020,4,0,0,4,6,1,1,4,Indonesia
3/26/2020,0,0,0,0,2,0,3,-1,Indonesia
3/26/2020,14,0,0,14,27,1,1,25,Indonesia
3/26/2020,1,0,0,1,1,0,0,1,Indonesia
3/26/2020,0,0,0,0,3,0,0,3,Indonesia
3/26/2020,1,0,1,0,1,0,1,0,Indonesia
3/26/2020,3,0,0,3,3,0,1,2,Indonesia
3/26/2020,0,0,0,0,1,2,1,-2,Indonesia
3/26/2020,0,0,0,0,1,1,0,0,Indonesia
3/27/2020,3,0,0,3,4,0,0,4,Indonesia
3/27/2020,0,0,0,0,2,2,3,-3,Indonesia
3/27/2020,25,2,3,20,31,21,134,-124,Indonesia
3/27/2020,74,7,6,61,231,70,69,92,Indonesia
3/27/2020,1,0,0,1,4,2,2,0,Indonesia
3/27/2020,153,9,11,133,1046,87,46,913,Indonesia
3/27/2020,0,0,0,0,1,0,0,1,Indonesia
3/27/2020,16,3,1,12,87,21,21,45,Indonesia
3/27/2020,8,1,1,6,60,14,18,28,Indonesia
3/27/2020,3,1,0,2,83,38,216,-171,Indonesia
3/27/2020,0,0,0,0,2,1,39,-38,Indonesia
3/27/2020,0,0,0,0,8,0,2,6,Indonesia
3/27/2020,0,0,0,0,1,1,0,0,Indonesia
3/27/2020,1,0,0,1,3,1,0,2,Indonesia
3/27/2020,0,0,0,0,1,0,0,1,Indonesia
3/27/2020,0,0,0,0,1,0,2,-1,Indonesia
3/27/2020,0,0,0,0,6,1,1,4,Indonesia
3/27/2020,2,0,0,2,2,1,0,1,Indonesia
3/27/2020,0,0,0,0,2,0,3,-1,Indonesia
3/27/2020,2,0,0,2,29,1,1,27,Indonesia
3/27/2020,0,0,0,0,1,0,0,1,Indonesia
3/27/2020,0,0,0,0,3,0,0,3,Indonesia
3/27/2020,0,0,0,0,1,0,1,0,Indonesia
3/27/2020,2,0,0,2,5,0,1,4,Indonesia
3/27/2020,0,0,0,0,1,2,1,-2,Indonesia
3/27/2020,0,1,0,-1,1,2,0,-1,Indonesia
3/28/2020,1,0,0,1,5,0,0,5,Indonesia
3/28/2020,0,0,0,0,2,2,3,-3,Indonesia
3/28/2020,10,2,7,1,41,23,141,-123,Indonesia
3/28/2020,48,9,9,30,279,79,78,122,Indonesia
3/28/2020,0,0,0,0,4,2,2,0,Indonesia
3/28/2020,109,15,13,81,1155,102,59,994,Indonesia
3/28/2020,0,0,0,0,1,0,0,1,Indonesia
3/28/2020,19,3,1,15,106,24,22,60,Indonesia
3/28/2020,15,2,2,11,75,16,20,39,Indonesia
3/28/2020,14,2,2,10,97,40,218,-161,Indonesia
3/28/2020,1,0,0,1,3,1,39,-37,Indonesia
3/28/2020,5,0,0,5,13,0,2,11,Indonesia
3/28/2020,2,0,0,2,2,0,0,2,Indonesia
3/28/2020,1,0,2,-1,2,1,2,-1,Indonesia
3/28/2020,0,0,0,0,3,1,0,2,Indonesia
3/28/2020,0,0,0,0,1,0,0,1,Indonesia
3/28/2020,0,0,0,0,1,0,2,-1,Indonesia
3/28/2020,0,0,0,0,6,1,1,4,Indonesia
3/28/2020,0,0,0,0,2,1,0,1,Indonesia
3/28/2020,0,0,0,0,2,0,3,-1,Indonesia
3/28/2020,1,0,0,1,1,0,0,1,Indonesia
3/28/2020,3,0,0,3,32,1,1,30,Indonesia
3/28/2020,1,0,0,1,2,0,0,2,Indonesia
3/28/2020,0,0,0,0,3,0,0,3,Indonesia
3/28/2020,0,0,0,0,1,0,1,0,Indonesia
3/28/2020,0,0,0,0,5,0,1,4,Indonesia
3/28/2020,1,0,0,1,2,2,1,-1,Indonesia
3/28/2020,0,0,0,0,1,2,0,-1,Indonesia
3/29/2020,0,0,0,0,5,0,0,5,Indonesia
3/29/2020,1,0,0,1,3,2,3,-2,Indonesia
3/29/2020,2,2,2,-2,43,25,143,-125,Indonesia
3/29/2020,52,10,0,42,331,89,78,164,Indonesia
3/29/2020,0,0,0,0,4,2,2,0,Indonesia
3/29/2020,130,12,5,113,1285,114,64,1107,Indonesia
3/29/2020,0,0,0,0,1,0,0,1,Indonesia
3/29/2020,27,3,3,21,133,27,25,81,Indonesia
3/29/2020,11,3,0,8,86,19,20,47,Indonesia
3/29/2020,12,1,28,-17,109,41,246,-178,Indonesia
3/29/2020,7,0,2,5,7,2,5,0,Indonesia
3/29/2020,0,0,0,0,3,1,39,-37,Indonesia
3/29/2020,0,0,0,0,13,0,2,11,Indonesia
3/29/2020,0,0,0,0,2,0,0,2,Indonesia
3/29/2020,0,0,0,0,2,1,2,-1,Indonesia
3/29/2020,0,0,0,0,3,1,0,2,Indonesia
3/29/2020,0,0,0,0,1,0,0,1,Indonesia
3/29/2020,0,0,0,0,1,0,2,-1,Indonesia
3/29/2020,2,0,0,2,8,1,1,6,Indonesia
3/29/2020,0,0,0,0,2,1,0,1,Indonesia
3/29/2020,1,0,0,1,3,0,3,0,Indonesia
3/29/2020,0,0,0,0,1,0,0,1,Indonesia
3/29/2020,15,0,0,15,47,1,1,45,Indonesia
3/29/2020,0,0,0,0,2,0,0,2,Indonesia
3/29/2020,0,0,0,0,3,0,0,3,Indonesia
3/29/2020,0,0,0,0,1,0,1,0,Indonesia
3/29/2020,0,0,0,0,5,0,1,4,Indonesia
3/29/2020,0,0,0,0,2,2,1,-1,Indonesia
3/29/2020,0,0,0,0,1,2,0,-1,Indonesia
3/30/2020,0,0,0,0,5,0,0,5,Indonesia
3/30/2020,9,0,0,9,12,2,3,7,Indonesia
3/30/2020,22,0,3,19,65,25,146,-106,Indonesia
3/30/2020,33,7,0,26,364,96,78,190,Indonesia
3/30/2020,2,0,1,1,6,2,3,1,Indonesia
3/30/2020,129,8,11,110,1414,122,75,1217,Indonesia
3/30/2020,1,0,0,1,2,0,0,2,Indonesia
3/30/2020,19,3,5,11,152,30,30,92,Indonesia
3/30/2020,17,1,1,15,103,20,21,62,Indonesia
3/30/2020,7,2,0,5,116,43,246,-173,Indonesia
3/30/2020,1,0,0,1,8,2,5,1,Indonesia
3/30/2020,5,0,0,5,5,0,0,5,Indonesia
3/30/2020,0,0,0,0,3,1,39,-37,Indonesia
3/30/2020,0,0,0,0,13,0,2,11,Indonesia
3/30/2020,0,0,0,0,2,0,0,2,Indonesia
3/30/2020,1,0,0,1,1,0,0,1,Indonesia
3/30/2020,2,2,0,0,4,3,2,-1,Indonesia
3/30/2020,4,1,0,3,7,2,0,5,Indonesia
3/30/2020,0,0,0,0,1,0,0,1,Indonesia
3/30/2020,0,0,0,0,1,0,2,-1,Indonesia
3/30/2020,0,0,0,0,8,1,1,6,Indonesia
3/30/2020,0,0,0,0,2,1,0,1,Indonesia
3/30/2020,1,0,0,1,4,0,3,1,Indonesia
3/30/2020,0,0,0,0,1,0,0,1,Indonesia
3/30/2020,4,2,0,2,51,3,1,47,Indonesia
3/30/2020,0,0,0,0,2,0,0,2,Indonesia
3/30/2020,0,0,0,0,3,0,0,3,Indonesia
3/30/2020,0,0,0,0,1,0,1,0,Indonesia
3/30/2020,3,0,0,3,8,0,1,7,Indonesia
3/30/2020,0,0,0,0,2,2,1,-1,Indonesia
3/30/2020,6,0,0,6,7,2,0,5,Indonesia
3/31/2020,0,0,0,0,5,0,0,5,Indonesia
3/31/2020,0,0,1,-1,12,2,4,6,Indonesia
3/31/2020,14,2,1,11,79,27,147,-95,Indonesia
3/31/2020,1,1,0,0,1,1,1,-1,Indonesia
3/31/2020,44,10,0,34,408,106,78,224,Indonesia
3/31/2020,5,0,0,5,11,2,3,6,Indonesia
3/31/2020,114,14,6,94,1528,136,81,1311,Indonesia
3/31/2020,0,0,0,0,2,0,0,2,Indonesia
3/31/2020,7,0,3,4,159,30,33,96,Indonesia
3/31/2020,15,2,0,13,118,22,21,75,Indonesia
3/31/2020,1,0,0,1,117,43,246,-172,Indonesia
3/31/2020,0,0,0,0,8,2,5,1,Indonesia
3/31/2020,2,0,0,2,7,0,0,7,Indonesia
3/31/2020,4,0,2,2,7,1,41,-35,Indonesia
3/31/2020,3,1,0,2,16,1,2,13,Indonesia
3/31/2020,0,0,0,0,2,0,0,2,Indonesia
