Region;Country;Date;Total_Cases;New_Cases;Total_Death;New_Death
SEA;Indonesia;2020-04-27;9096;214;765;22
SEA;Indonesia;2020-04-28;9511;415;773;8
SEA;Indonesia;2020-04-29;9771;260;784;11
SEA;Indonesia;2020-04-30;10118;347;792;8
SEA;Indonesia;2020-05-01;10551;433;800;8
SEA;Indonesia;2020-05-02;10843;292;831;31
SEA;Indonesia;2020-05-03;11192;349;845;14
SEA;Indonesia;2020-05-04;11587;395;864;19
SEA;Indonesia;2020-05-05;12071;484;872;8
SEA;Indonesia;2020-05-06;12438;367;895;23
SEA;Indonesia;2020-05-07;12776;338;930;35
SEA;Indonesia;2020-05-08;13112;336;943;13
SEA;Indonesia;2020-05-09;13645;533;959;16
SEA;Indonesia;2020-05-10;14032;387;973;14
SEA;Indonesia;2020-05-11;14265;233;991;18
SEA;Indonesia;2020-05-12;14749;484;1007;16
SEA;Indonesia;2020-05-13;15438;689;1028;21
SEA;Indonesia;2020-05-14;16006;568;1043;15
SEA;Indonesia;2020-05-15;16496;490;1076;33
SEA;Indonesia;2020-05-16;17025;529;1089;13
SEA;Indonesia;2020-05-17;17514;489;1148;59
SEA;Indonesia;2020-05-18;18010;496;1191;43
SEA;Indonesia;2020-05-19;18496;486;1221;30
SEA;Indonesia;2020-05-20;19189;693;1242;21
SEA;Indonesia;2020-05-21;20162;973;1278;36
SEA;Indonesia;2020-05-22;20796;634;1326;48
SEA;Indonesia;2020-05-23;21745;949;1351;25
SEA;Indonesia;2020-05-24;22271;526;1372;21
SEA;Indonesia;2020-05-25;22750;479;1391;19
SEA;Indonesia;2020-05-26;23165;415;1418;27
SEA;Indonesia;2020-05-27;23851;686;1473;55
SEA;Indonesia;2020-05-28;24538;687;1496;23
SEA;Indonesia;2020-05-29;25216;678;1520;24
SEA;Indonesia;2020-05-30;25773;557;1573;53
SEA;Indonesia;2020-05-31;26473;700;1613;40
SEA;Indonesia;2020-06-01;26940;467;1641;28
SEA;Indonesia;2020-06-02;27549;609;1663;22
SEA;Indonesia;2020-06-03;28233;684;1698;35
SEA;Indonesia;2020-06-04;28818;585;1721;23
SEA;Indonesia;2020-06-05;29521;703;1770;49
SEA;Indonesia;2020-06-06;30514;993;1801;31
SEA;Indonesia;2020-06-07;31186;672;1851;50
SEA;Indonesia;2020-06-08;32033;847;1883;32
SEA;Indonesia;2020-06-09;33076;1043;1923;40
SEA;Indonesia;2020-06-10;34316;1240;1959;36
SEA;Indonesia;2020-06-11;35295;979;2000;41
SEA;Indonesia;2020-06-12;36406;1111;2048;48
SEA;Indonesia;2020-06-13;37420;1014;2091;43
SEA;Indonesia;2020-06-14;38277;857;2134;43
SEA;Indonesia;2020-06-15;39294;1017;2198;64
SEA;Indonesia;2020-06-16;40400;1106;2231;33
SEA;Indonesia;2020-06-17;41431;1031;2276;45
SEA;Indonesia;2020-06-18;42762;1331;2339;63
SEA;Indonesia;2020-06-19;43803;1041;2373;34
SEA;Indonesia;2020-06-20;45029;1226;2429;56
SEA;Indonesia;2020-06-21;45891;862;2465;36
SEA;Indonesia;2020-06-22;46845;954;2500;35
SEA;Indonesia;2020-06-23;47896;1051;2535;35
SEA;Indonesia;2020-06-24;49009;1113;2573;38
SEA;Indonesia;2020-06-25;50187;1178;2620;47
SEA;Indonesia;2020-06-26;51427;1240;2683;63
SEA;Indonesia;2020-06-27;52812;1385;2720;37
SEA;Indonesia;2020-06-28;54010;1198;2754;34
SEA;Indonesia;2020-06-29;55092;1082;2805;51
